seed_doc_id	seed_doc	seed_ref_id	seed_ref	doc_id	doc	ref_id	ref	TRUE	Hash
595f9d35fe7683316b2dc662	<Book: Daniele Manin e la rivoluzione veneziana del 1848-1849,  Einaudi,, 2007, ISBN: 978-88-06-14972-7>	5919e96d3dde944752f73d31	A.ventura, La formazione intellettuale di Daniele Manin, in «Il Risorgimento», IX (1957).	59dc74abfe768340301be96a	<Book: 1: L'Ottocento. 1797-1918,  Istituto della Enciclopedia Italiana,, 2002>	59e0adcbf98262071bfcdb64	Ventura, La politica veneziana avanti la 'fusione', in Verbali del consiglio dei ministri della Repubblica veneta: 27 marzo-jo giugno 1848, a cura di Id., Venezia 1957, p. 22 (pp. 5-73)·	0	1
595f9d35fe7683316b2dc662	<Book: Daniele Manin e la rivoluzione veneziana del 1848-1849,  Einaudi,, 2007, ISBN: 978-88-06-14972-7>	5919e96d3dde944752f73d31	A.ventura, La formazione intellettuale di Daniele Manin, in «Il Risorgimento», IX (1957).	59621ddafe76832067212695	<Book: Repertorio di storiografia veneziana : testi e studi,  Il poligrafo, \1998, 1998, ISBN: 88-7115-096-1>	59e332f68831617f5eddf8c3	1-14 Ventura Angelo, La formazione intellettuale di Daniele Manin, «Risorgimento (II)», 9, 1957, 1-21 Nuffel (van) Robert O.J., Intorno alla perdita della flotta a Venezia, «Rassegna storica del Risorgimento. Organo della Società nazionale per la storia del Risorgimento italiano», 44, 1957, 784-791	1	1
595f9d35fe7683316b2dc662	<Book: Daniele Manin e la rivoluzione veneziana del 1848-1849,  Einaudi,, 2007, ISBN: 978-88-06-14972-7>	5919e96d3dde944752f73d31	A.ventura, La formazione intellettuale di Daniele Manin, in «Il Risorgimento», IX (1957).	5988477ec12c60316ce2450a	<Book: Fuori d'Italia: Manin e l'esilio : atti del convegno nel 150. anniversario della morte di Daniele Manin 1857-2007,  Ateneo Veneto,, 2009, ISBN: 978-88-89281-08-6>	59df6ec59be3c75dd98bf515	Venezia Quarantotto. Episodi, luoghi e protagonisti di una rivoluzione 1848-1849) e un convegno e un volume dell’Istituto Veneto di Scienze, Lettere ed Arti 1848-1849. Costituenti e costituzioni. Daniele Manin e la Repubblica di Venezia, a cura di Pier Luigi Ballini, ivi 2002, atti del convegno tenutosi il 7-8 ottobre 1999) hanno proposto occasioni di riflessione per una rilettura critica della storiografia e dell’agiografia quarantottesca, di cui, anche per le riflessioni sull’esilio, è esempio il saggio di ANGELO VENTURA, L'opera politica di Daniele Manin per la democrazia e l’unità nazionale, ibid., pp. 255-297.	0	1
595f9d35fe7683316b2dc662	<Book: Daniele Manin e la rivoluzione veneziana del 1848-1849,  Einaudi,, 2007, ISBN: 978-88-06-14972-7>	5919e96d3dde944752f73d31	A.ventura, La formazione intellettuale di Daniele Manin, in «Il Risorgimento», IX (1957).	59dc75c1fe76834059d448d3	<Book: Venezia in gramaglie : funerali pubblici nel lungo Ottocento,  Il poligrafo,, 2013, ISBN: 978-88-7115-820-4>	59e0adbbf98262071bfa539f	Ventura, Angelo, L’opera politica di Daniele Manin per la democrazia e l’Unità nazionale, Venezia, Istituto Veneto di Scienze Lettere ed Arti, 2002.	0	1
595f9d35fe7683316b2dc662	<Book: Daniele Manin e la rivoluzione veneziana del 1848-1849,  Einaudi,, 2007, ISBN: 978-88-06-14972-7>	5919e96d3dde944752f73d31	A.ventura, La formazione intellettuale di Daniele Manin, in «Il Risorgimento», IX (1957).	59dc74cdfe768340301beac8	<Book: Quaderni veneti,  Longo, [2000, 2000, ISBN: 88-8063-288-4>	59e332f88831617f5ee191c8	VENTURA, Lineamenti costituzionali del Governo provvisorio di Venezia, Padova, 1955, pp. 22-25.	0	1
595f9d35fe7683316b2dc662	<Book: Daniele Manin e la rivoluzione veneziana del 1848-1849,  Einaudi,, 2007, ISBN: 978-88-06-14972-7>	5919e96d3dde944752f73d31	A.ventura, La formazione intellettuale di Daniele Manin, in «Il Risorgimento», IX (1957).	595f9d2efe7683316b2dc618	<Book: Il mestiere di scrivere : lavoro intellettuale e mercato librario a Venezia nel Cinquecento,  Bulzoni, \1988, 1988>	5919e96c3dde944752f72958	A. DlNl, La formazione intellettuale nel Cinquecento, Torino, Loescher, 1978.	0	1
595f9d35fe7683316b2dc662	<Book: Daniele Manin e la rivoluzione veneziana del 1848-1849,  Einaudi,, 2007, ISBN: 978-88-06-14972-7>	5919e96d3dde944752f73d31	A.ventura, La formazione intellettuale di Daniele Manin, in «Il Risorgimento», IX (1957).	59dc74abfe768340301be96a	<Book: 1: L'Ottocento. 1797-1918,  Istituto della Enciclopedia Italiana,, 2002>	59e0adcbf98262071bfcdb6c	di nascita dei ministri — Modena per Paolucci, Brescia per Solera, Bergamo per Camerata, Sebenico per lo stesso Tommaseo ecc. — il carattere «tutto [...] veneziano» del governo, e l’analisi di Ventura in Verbali del consiglio dei ministri della Repubblica veneta: 27  marzo-go giugno 1848, a cura di Angelo Ventura, Venezia 1957, pp. 34-40,	0	1
595f9d35fe7683316b2dc662	<Book: Daniele Manin e la rivoluzione veneziana del 1848-1849,  Einaudi,, 2007, ISBN: 978-88-06-14972-7>	5919e96d3dde944752f73d31	A.ventura, La formazione intellettuale di Daniele Manin, in «Il Risorgimento», IX (1957).	595faf19fe7683456bf6c048	<Book: Venezia 1848-49 : la rivoluzione e la difesa,  Comune, Assessorato affari istituzionali, stampa, 1979>	59e067ba8ee1df04443382cf	Ventura, A. (ed.), Verbali del consiglio dei ministri della Repubblica Veneta, 27 marzo - 30 giugno 1848, Venezia 1957.	0	1
595f9d35fe7683316b2dc662	<Book: Daniele Manin e la rivoluzione veneziana del 1848-1849,  Einaudi,, 2007, ISBN: 978-88-06-14972-7>	5919e96d3dde944752f73d31	A.ventura, La formazione intellettuale di Daniele Manin, in «Il Risorgimento», IX (1957).	59884353c12c602d0de24510	<Book: Tra Venezia e l'Europa : gli itinerari di uno storico del Novecento: Marino Berengo,  Poligrafo,, 2003, ISBN: 88-7115-384-7>	59e2c5a988316171ebb9c5bf	P. SIMONCELLI, Renzo De Felice. La formazione intellettuale, Firenze, Le Lettere, 2001, pp. 99 ss.,	0	1
595f9d35fe7683316b2dc662	<Book: Daniele Manin e la rivoluzione veneziana del 1848-1849,  Einaudi,, 2007, ISBN: 978-88-06-14972-7>	5919e96d3dde944752f73d31	A.ventura, La formazione intellettuale di Daniele Manin, in «Il Risorgimento», IX (1957).	59dc7569fe76834059d4458d	<Book: Il gonfalone di San Marco : analisi storico-araldica dello stemma, gonfalone, sigillo e bandiera della Citta di Venezia,  Filippi, \1998, 1998>	59e333098831617f5ee99dd5	Verbali del Consiglio dei Ministri della Repubblica Veneta: 27 marzo - 30 giugno 1848, a cura di Angelo Ventura, Venezia 1957, pp. 79-80	0	1
595f9d35fe7683316b2dc662	<Book: Daniele Manin e la rivoluzione veneziana del 1848-1849,  Einaudi,, 2007, ISBN: 978-88-06-14972-7>	5919e96d3dde944752f73d31	A.ventura, La formazione intellettuale di Daniele Manin, in «Il Risorgimento», IX (1957).	59dc7528fe76834059d44305	<Book: The siege of Venice,  Chatto & Windus,, 2005, ISBN: 0701166371>	59e333088831617f5ee74e70	Ventura, Angelo: Lineamenti costituzionali del governo provisorio di Venezia nel 1848-4P. Padua 1955	0	1
