seed_doc_id	seed_doc	seed_ref_id	seed_ref	doc_id	doc	ref_id	ref	TRUE	Hash
59dc753bfe76834059d443c5	<Book: The inquisitor in the hat shop : inquisition, forbidden books and unbelief in early modern Venice,  Ashgate,, 2012, ISBN: 9781409435471>	59de7a1f48e232540c5c31aa	Gianvittorio Signorotto, Inquisitori e mistici nel Seicento italiano. L’eresia di Santa Pelagia (Bologna: Il Mulino, 1989);	59dc759ffe76834059d44788	<Book: Il secolo di carta : Antonio Bosio artigiano di testi e immagini nella Venezia del Seicento,  Angeli,, 2009, ISBN: 978-88-568-1067-7>	59e333088831617f5ee76226	G. Spini, Ricerca dei libertini. Teoria dell’impostura delle religioni nel Seicento italiano, Firenze, La Nuova Italia, 19832 (ed. or. 1950).	0	1
59dc753bfe76834059d443c5	<Book: The inquisitor in the hat shop : inquisition, forbidden books and unbelief in early modern Venice,  Ashgate,, 2012, ISBN: 9781409435471>	59de7a1f48e232540c5c31aa	Gianvittorio Signorotto, Inquisitori e mistici nel Seicento italiano. L’eresia di Santa Pelagia (Bologna: Il Mulino, 1989);	59dc75defe76834059d44a21	<Book: Il libro illustrato veneziano del Seicento : con un repertorio dei principali incisori e peintre-graveurs,  Il prato,, 2010, ISBN: 978-88-6336-045-5>	59e333088831617f5ee8201f	RAIMONDI 1982 Ezio Raimondi, Letteratura barocca. Studi sul Seicento italiano, Firenze, 1982.	0	1
59dc753bfe76834059d443c5	<Book: The inquisitor in the hat shop : inquisition, forbidden books and unbelief in early modern Venice,  Ashgate,, 2012, ISBN: 9781409435471>	59de7a1f48e232540c5c31aa	Gianvittorio Signorotto, Inquisitori e mistici nel Seicento italiano. L’eresia di Santa Pelagia (Bologna: Il Mulino, 1989);	59dc759ffe76834059d44788	<Book: Il secolo di carta : Antonio Bosio artigiano di testi e immagini nella Venezia del Seicento,  Angeli,, 2009, ISBN: 978-88-568-1067-7>	59e333088831617f5ee75f27	A. Malena, L’eresia dei perfetti. Inquisizione ed esperienze mistiche nel Seicento italiano, Roma, Storia e Letteratura, 2003, pp. 223n, 272-273.	0	1
59dc753bfe76834059d443c5	<Book: The inquisitor in the hat shop : inquisition, forbidden books and unbelief in early modern Venice,  Ashgate,, 2012, ISBN: 9781409435471>	59de7a1f48e232540c5c31aa	Gianvittorio Signorotto, Inquisitori e mistici nel Seicento italiano. L’eresia di Santa Pelagia (Bologna: Il Mulino, 1989);	595fa064fe7683316b2de57b	<Article: "Di Paolo Beni e di una riforma dello Studio di Padova (1619)" in "Studi veneziani", 42(None) 2001, internal_id=LO10016101:2001_42:3>	58e4ce02fe7683152b5aab56	G. Baffetti, Retorica e scienza. Cul- tura gesuitica e Seicento italiano, Bologna, 1997.	0	1
59dc753bfe76834059d443c5	<Book: The inquisitor in the hat shop : inquisition, forbidden books and unbelief in early modern Venice,  Ashgate,, 2012, ISBN: 9781409435471>	59de7a1f48e232540c5c31aa	Gianvittorio Signorotto, Inquisitori e mistici nel Seicento italiano. L’eresia di Santa Pelagia (Bologna: Il Mulino, 1989);	5960f7b0fe76836de00e8387	<Book: Venezia nell'eta della Controriforma,  Mursia, , 1973>	59df6ec59be3c75dd98c285b	G. Spini, Ricerca dei libertini. La teoria dell’impostura delle religioni nel Seicento italiano, Roma, 1950).	0	1
59dc753bfe76834059d443c5	<Book: The inquisitor in the hat shop : inquisition, forbidden books and unbelief in early modern Venice,  Ashgate,, 2012, ISBN: 9781409435471>	59de7a1f48e232540c5c31aa	Gianvittorio Signorotto, Inquisitori e mistici nel Seicento italiano. L’eresia di Santa Pelagia (Bologna: Il Mulino, 1989);	595f9d37fe7683316b2dc67b	<Book: La sapienza civile : studi sull'umanesimo a Venezia,  L. S. Olschki,, 1998, ISBN: 88-222-4565-2>	5919e9663dde944752f50af1	G. Baffetti, Retorica e scienza. Cultura gesuitica e Seicento italiano, Bologna, 1997.	0	1
59dc753bfe76834059d443c5	<Book: The inquisitor in the hat shop : inquisition, forbidden books and unbelief in early modern Venice,  Ashgate,, 2012, ISBN: 9781409435471>	59de7a1f48e232540c5c31aa	Gianvittorio Signorotto, Inquisitori e mistici nel Seicento italiano. L’eresia di Santa Pelagia (Bologna: Il Mulino, 1989);	595fac69fe768340faf6c04d	<Book: Venezia e la difesa della liberta repubblicana : i valori del Rinascimento nell'eta della Controriforma,  Il mulino, [1977, 1977>	59e2c59e88316171ebb6bd3c	G. Spini, Ricerca dei libertini. La teoria dell'impostura delle religioni nel seicento italiano, Roma, 1950, pp. 15 ss.	0	1
59dc753bfe76834059d443c5	<Book: The inquisitor in the hat shop : inquisition, forbidden books and unbelief in early modern Venice,  Ashgate,, 2012, ISBN: 9781409435471>	59de7a1f48e232540c5c31aa	Gianvittorio Signorotto, Inquisitori e mistici nel Seicento italiano. L’eresia di Santa Pelagia (Bologna: Il Mulino, 1989);	59dc7529fe76834059d44310	<Book: The culture wars of the late Renaissance : skeptics, libertines, and opera,  Harvard university press,, 2007, ISBN: 0674024818>	59e333088831617f5ee6dfad	Giorgio Spini, Ricerca dei libertini: La Teoria dell’impostura delle religioni nel Seicento italiano, rev. ed. (Florence, 1983), 6.	0	1
59dc753bfe76834059d443c5	<Book: The inquisitor in the hat shop : inquisition, forbidden books and unbelief in early modern Venice,  Ashgate,, 2012, ISBN: 9781409435471>	59de7a1f48e232540c5c31aa	Gianvittorio Signorotto, Inquisitori e mistici nel Seicento italiano. L’eresia di Santa Pelagia (Bologna: Il Mulino, 1989);	59dc74a5fe768340301be92c	<Book: Giacomo Casanova tra Venezia e L'Europa,  L. S. Olschki,, 2001, ISBN: 88-222-5011-7>	59de7a2048e232540c5e11ce	G. Spini, Ricerca dei libertini. La teoria dell’impostura delle religioni nel Seicento italiano, Roma, Universale di Roma, 1950.	0	1
59dc753bfe76834059d443c5	<Book: The inquisitor in the hat shop : inquisition, forbidden books and unbelief in early modern Venice,  Ashgate,, 2012, ISBN: 9781409435471>	59de7a1f48e232540c5c31aa	Gianvittorio Signorotto, Inquisitori e mistici nel Seicento italiano. L’eresia di Santa Pelagia (Bologna: Il Mulino, 1989);	5960e4b0fe76836c720e839f	<Book: Memorie. Classe di scienze morali, lettere ed arti,  Istituto veneto di scienze lettere ed arti,, 1997, ISBN: 88-86166-40-0>	59e332f68831617f5ede3860	Signorotto G., Inquisitori e mistici nel Seicento italiano. L’eresia di Santa Pelagia, Bologna 1989	1	1
